S.No.,Tamil,Hindi,English,Example,Comments
1,Idhu,ye,it,idhu enna? what is this?,
2,enna,kya,what,idhu enna? what is this?,
3,Avar,,he,Avar engey? where is he?,"Respectful, gender-neutral"
4,Avan,,he,Avan engey? where is he?,
5,Engey,kahan,where,Avan engey? where is he?,
6,Evvalavu,kitne,how much,idhu evvalavu? how much is it?,
7,Eppadi,kaisa,how,idhu eppadi irruku? How is it?,
8,irruku,hai,,idhu eppadi irruku? How is it?,
9,ethanai,kitne,how many,ethanai per? how many people?,
10,per,log,people,ethanai per? how many people?,
11,edhukku,kyon,why,edhukku vandha? why did you come?,
12,vandha,aye,come,edhukku vandha? why did you come?,
13,sonna,kha,say,enna sonna? what did you say?,
14,sonnenga,kha,say,edhukku vandha? why did you come?,Respectful
15,Na,mei,me,na enna pannuven? what do I do?,
16,Pannuven,karu/karunga,do,na enna pannuven? what do I do?,
17,nadakkum,hoga,will happen,enna nadakkum? what will happen?,
18,aagum,hoga,will happen,na enna pannuven? what do I do?,
19,paatha,dekha,see,enna paatha? what did you see?,
20,paatheenga,dekha,see,enna paatheenga? what did you see?,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
